date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:03:59	22443/22443	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2020:53:07%20GMT	https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed	D:/bin/bin/support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed.html	(from )
02:03:59	429/429	---MCZ	200	added ('OK')	text/plain	etag:W/%22ba92b4b50853f1393d24b7b2a48af81f%22	https://support.binance.com/robots.txt		(from )
02:04:00	7175/7175	---M--	200	added ('OK')	image/png	etag:%225f43db6970d044b1edae024537ac1d42%22	https://theme.zdassets.com/theme_assets/1938355/a48b268aeb087898963103241223278eef9a02f7.png	D:/bin/bin/theme.zdassets.com/theme_assets/1938355/a48b268aeb087898963103241223278eef9a02f7.png	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:00	91910/91910	---M-Z	200	added ('OK')	text/css	etag:%225a33c6ac-16706+gzip%22	http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css	D:/bin/bin/p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:00	69131/69131	---M-Z	200	added ('OK')	text/css	etag:W/%22a009721796dcee034ee975e7859dbdba%22	http://p13.zdassets.com/hc/theming_assets/1938355/114094048972/style.css?digest=360008825352&locale=en-us	D:/bin/bin/p13.zdassets.com/hc/theming_assets/1938355/114094048972/stylee17f.css	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:02	93079/93079	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a1ec1f1-16b97%22	http://p13.zdassets.com/hc/assets/jquery-b60ddb79ff2563b75442a6bac88b00b5.js	D:/bin/bin/p13.zdassets.com/hc/assets/jquery-b60ddb79ff2563b75442a6bac88b00b5.js	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:23	5569/5569	---M-Z	200	added ('OK')	text/javascript	etag:W/%22bae35d65387f26f3865a9519390320fc%22	http://p13.zdassets.com/hc/theming_assets/1938355/114094048972/script.js?digest=360008825352&locale=en-us	D:/bin/bin/p13.zdassets.com/hc/theming_assets/1938355/114094048972/scripte17f.js	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:24	25290/25290	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2022:32:58%20GMT	https://support.binance.com/hc/en-us/articles/360000851071-Happy-Valentine-s-Day-GTO-Lucky-Draw-and-Trading-Competition	D:/bin/bin/support.binance.com/hc/en-us/articles/360000851071-Happy-Valentine-s-Day-GTO-Lucky-Draw-and-Trading-Competition.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:25	22561/22561	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2006:46:04%20GMT	https://support.binance.com/hc/en-us/articles/360000849751-System-Upgrade-Notice	D:/bin/bin/support.binance.com/hc/en-us/articles/360000849751-System-Upgrade-Notice.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:25	21983/21983	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2010:01:05%20GMT	https://support.binance.com/hc/en-us/articles/360000765312-System-Upgrade-Completed	D:/bin/bin/support.binance.com/hc/en-us/articles/360000765312-System-Upgrade-Completed.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:25	24327/24327	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2022:43:34%20GMT	https://support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6	D:/bin/bin/support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:26	22391/22391	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2001:19:27%20GMT	https://support.binance.com/hc/en-us/articles/360000778631-System-Upgrade-Notice	D:/bin/bin/support.binance.com/hc/en-us/articles/360000778631-System-Upgrade-Notice.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:27	22876/22876	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2019:57:37%20GMT	https://support.binance.com/hc/en-us/articles/360000737572-System-Upgrade-Complete	D:/bin/bin/support.binance.com/hc/en-us/articles/360000737572-System-Upgrade-Complete.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:28	22781/22781	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2012:49:25%20GMT	https://support.binance.com/hc/en-us/articles/360000754711-System-Upgrade-Latest-Update	D:/bin/bin/support.binance.com/hc/en-us/articles/360000754711-System-Upgrade-Latest-Update.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:29	22350/22350	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2021:07:05%20GMT	https://support.binance.com/hc/en-us/articles/360000713851-System-Upgrade-Extension	D:/bin/bin/support.binance.com/hc/en-us/articles/360000713851-System-Upgrade-Extension.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:30	21861/21861	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202018%2011:26:29%20GMT	https://support.binance.com/hc/en-us/articles/360000710431-System-already-in-upgrade	D:/bin/bin/support.binance.com/hc/en-us/articles/360000710431-System-already-in-upgrade.html	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:31	957/957	---M--	200	added ('OK')	image/png	etag:%223f4e509613b5836022b374e46f2a1381%22	https://support.binance.com/system/photos/1140/9841/6071/%e5%be%bd%e6%a0%8737x37.png	D:/bin/bin/support.binance.com/system/photos/1140/9841/6071/%e5%be%bd%e6%a0%8737x37.png	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:31	10167/10167	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:04:30%20GMT	https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed/subscription	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
